doc_id,item,category,amount,price,discount
c4c83c83167a48fe9d9a28046791d2de,tablecloth,Home Textiles,3,932,10
c4c83c83167a48fe9d9a28046791d2de,dustpan and broom,Cleaning Supplies,2,322,5
c4c83c83167a48fe9d9a28046791d2de,spoons and forks,Kitchenware,1,422,9
919de611f7d04cbfa134aa40658b9772,trash bags,Cleaning Supplies,2,312,4
8cc14afb44b0441ebb6ce869a859c420,salad bowls,Dishes,2,237,5
8cc14afb44b0441ebb6ce869a859c420,mugs,Dishes,4,734,4
8cc14afb44b0441ebb6ce869a859c420,blanket,Home Textiles,1,778,13
8cc14afb44b0441ebb6ce869a859c420,cutting boards,Kitchenware,4,791,0
a19f1fc8f554417b9fa275f08fff2bd6,microfiber cloths,Cleaning Supplies,1,166,8
a19f1fc8f554417b9fa275f08fff2bd6,spoons and forks,Kitchenware,4,811,11
a19f1fc8f554417b9fa275f08fff2bd6,universal cleaning spray,Household Chemicals,4,983,0
a19f1fc8f554417b9fa275f08fff2bd6,air freshener,Household Chemicals,1,849,3
a19f1fc8f554417b9fa275f08fff2bd6,mugs,Dishes,1,997,8
a19f1fc8f554417b9fa275f08fff2bd6,food storage containers,Dishes,5,621,14
14cee8c1da474431bc7c758e148088a9,salad bowls,Dishes,5,722,3
14cee8c1da474431bc7c758e148088a9,dustpan and broom,Cleaning Supplies,5,307,7
14cee8c1da474431bc7c758e148088a9,plates,Dishes,3,931,4
14cee8c1da474431bc7c758e148088a9,blanket,Home Textiles,2,632,7
4df62fe007414b3584ed3897a3e66a5c,mop,Cleaning Supplies,4,466,6
4df62fe007414b3584ed3897a3e66a5c,air freshener,Household Chemicals,1,780,2
4df62fe007414b3584ed3897a3e66a5c,universal cleaning spray,Household Chemicals,1,645,14
4df62fe007414b3584ed3897a3e66a5c,bathroom cleaner,Household Chemicals,3,755,3
c46703e7e4c64ceeb6e7f3d530f583a7,towels,Home Textiles,4,666,12
c46703e7e4c64ceeb6e7f3d530f583a7,laundry detergent,Household Chemicals,4,840,13
c46703e7e4c64ceeb6e7f3d530f583a7,plates,Dishes,1,445,11
c46703e7e4c64ceeb6e7f3d530f583a7,cups,Dishes,5,189,6
c46703e7e4c64ceeb6e7f3d530f583a7,sieve,Kitchenware,5,407,6
c46703e7e4c64ceeb6e7f3d530f583a7,blanket,Home Textiles,5,480,2
eb55f841850f4c5eadd810038239e1db,bathroom cleaner,Household Chemicals,3,178,12
eb55f841850f4c5eadd810038239e1db,blanket,Home Textiles,2,416,15
eb55f841850f4c5eadd810038239e1db,bucket,Cleaning Supplies,3,831,11
eb55f841850f4c5eadd810038239e1db,graters,Kitchenware,2,975,2
eb55f841850f4c5eadd810038239e1db,mop,Cleaning Supplies,2,121,4
eb55f841850f4c5eadd810038239e1db,tablecloth,Home Textiles,2,499,3
f48dd4a8534f4af4a84b75f3f0cb0ab8,towels,Home Textiles,1,463,12
f48dd4a8534f4af4a84b75f3f0cb0ab8,mugs,Dishes,2,975,0
f48dd4a8534f4af4a84b75f3f0cb0ab8,tablecloth,Home Textiles,2,118,0
63ab9d4e0603402995a5094d79340501,mop,Cleaning Supplies,5,465,2
2eadc9b4bf984bbb8639e13e0c69e84d,dustpan and broom,Cleaning Supplies,4,516,14
d7a0a013cce94f4d95589195bcff16bc,air freshener,Household Chemicals,1,609,2
d7a0a013cce94f4d95589195bcff16bc,sponges and rags,Household Chemicals,4,979,13
d7a0a013cce94f4d95589195bcff16bc,dishwashing liquid,Household Chemicals,4,216,14
d7a0a013cce94f4d95589195bcff16bc,laundry detergent,Household Chemicals,4,233,8
b54391a1533545918be94d05e4f82427,food storage containers,Dishes,3,697,7
b54391a1533545918be94d05e4f82427,sheets,Home Textiles,3,361,2
b54391a1533545918be94d05e4f82427,sponges and rags,Household Chemicals,5,448,9
31dee0806d1d4473a45a697b60d29731,graters,Kitchenware,3,194,11
31dee0806d1d4473a45a697b60d29731,trash bags,Cleaning Supplies,4,188,6
c6a56b9118d64634a73b2d09b3f59859,trash bags,Cleaning Supplies,5,800,11
c6a56b9118d64634a73b2d09b3f59859,mop,Cleaning Supplies,3,405,11
c6a56b9118d64634a73b2d09b3f59859,mugs,Dishes,1,445,5
c6a56b9118d64634a73b2d09b3f59859,kitchen knives,Kitchenware,1,241,5
c6a56b9118d64634a73b2d09b3f59859,bowls,Dishes,5,466,1
87848604003848b489bad17783a48901,mop,Cleaning Supplies,1,219,15
87848604003848b489bad17783a48901,bathroom cleaner,Household Chemicals,4,564,11
87848604003848b489bad17783a48901,sponges and rags,Household Chemicals,1,606,10
87848604003848b489bad17783a48901,mugs,Dishes,4,573,7
87848604003848b489bad17783a48901,universal cleaning spray,Household Chemicals,5,158,11
d93aa3521ef94f1b97e6ca8151a185fa,spatulas and ladles,Kitchenware,2,893,12
d93aa3521ef94f1b97e6ca8151a185fa,microfiber cloths,Cleaning Supplies,1,497,12
d93aa3521ef94f1b97e6ca8151a185fa,sieve,Kitchenware,5,350,6
d93aa3521ef94f1b97e6ca8151a185fa,air freshener,Household Chemicals,1,526,4
d93aa3521ef94f1b97e6ca8151a185fa,kitchen towels,Home Textiles,4,480,6
feba7777487e454b8eaf9cf1d521da96,sheets,Home Textiles,4,163,9
feba7777487e454b8eaf9cf1d521da96,dustpan and broom,Cleaning Supplies,3,928,6
